player_id,event_timestamp,event_name
1058930,1632265733,install
1055681,1632412526,login
1057784,1632411775,login
1015250,1631923078,login
1040648,1631670785,login
1049800,1631893819,login
1055624,1632102327,install
1047430,1631754816,login
1060568,1632354197,install
1049258,1631896230,login
1056050,1632162526,login
1061651,1632439898,login
1059704,1632302660,install
1052979,1632422452,login
1051385,1632056107,login
1058456,1632260010,login
1051625,1631925950,install
1047261,1631666309,install
1047593,1631930392,login
1057802,1632237858,install
1044991,1631672681,install
1050646,1631924459,login
1057863,1632238903,install
1002322,1632187767,install
1053853,1632303195,login
1055128,1632103231,login
1055692,1632139499,login
1050818,1632003412,login
1058257,1632251672,install
1059171,1632269247,install
1056993,1632185211,install
1056508,1632250278,login
1047524,1631718545,login
1046158,1631728073,login
1060916,1632363759,install
1050116,1631843905,install
1048875,1632072933,login
1014970,1631806974,install
1054108,1632142045,login
1012987,1631998520,install
1030857,1631849473,login
1050814,1631911162,login
1057405,1632229362,install
1050005,1632414496,login
1060314,1632348575,install
1062184,1632439494,login
1052537,1632012173,login
1035858,1631715153,login
1057465,1632232369,login
1043803,1631807122,login
1027877,1632273402,login
1019558,1631796591,login
1055312,1632155408,login
1048813,1632133744,login
1053119,1632000825,install
1052228,1631973636,login
1000474,1631964105,login
1014440,1631829317,login
1047692,1631740861,login
1056395,1632164503,install
1010095,1632061563,login
1052385,1631978846,install
1044069,1631842212,install
1054538,1632079117,login
1037473,1631721207,login
1057749,1632402035,login
1057810,1632237995,install
1018788,1631786356,login
1057690,1632357311,login
1015975,1632355872,login
1043267,1631987653,login
1060196,1632430930,login
1053597,1632013345,install
1000474,1632066364,login
1018310,1632061452,login
1051738,1632257440,login
1048414,1632048048,login
1058527,1632263362,login
1047294,1632000793,login
1058887,1632265264,install
1050361,1631882102,install
1052855,1632047302,login
1049765,1631833291,install
1045019,1631915122,login
1007160,1631757809,login
1048285,1631832677,login
1051385,1632265252,login
1045758,1631756432,login
1050136,1631846944,login
1060086,1632338107,install
1047915,1632157670,login
1057929,1632254287,login
1005230,1632269092,install
1042857,1631892806,login
1047534,1632091605,login
1051268,1631987052,login
